========== KATEGORİ: Actor/Body ==========
UI İsmi: Hip Scale  |  Kod ID: cc embed morphs/embed_torso2  |  Range: [1.0, -0.30000001192092896]
UI İsmi: Hip Love Handles  |  Kod ID: cc embed morphs/embed_torso107  |  Range: [1.0, 0.0]
UI İsmi: Hip Width A  |  Kod ID: 2018-09-14-22-09-23_pelvis width  |  Range: [1.0, 0.0]
UI İsmi: Glute Scale  |  Kod ID: cc embed morphs/embed_torso1  |  Range: [1.0, -1.0]
UI İsmi: Glute Height  |  Kod ID: cc embed morphs/embed_torso3  |  Range: [1.0, -1.0]
UI İsmi: Leg Length  |  Kod ID: cc embed morphs/embed_leg1  |  Range: [1.0, -1.0]
UI İsmi: Thigh Length  |  Kod ID: cc embed morphs/embed_leg4  |  Range: [1.0, -1.0]
UI İsmi: Thigh Scale  |  Kod ID: cc embed morphs/embed_leg3  |  Range: [1.0, -1.0]
UI İsmi: Quad Lower Scale  |  Kod ID: 2016-08-26-14-04-18_quad_natural  |  Range: [1.0, 0.0]
UI İsmi: Quad Lower Inner Scale  |  Kod ID: 2018-07-20-11-28-28_thigh lower inner adjust  |  Range: [1.0, -1.0]
UI İsmi: Hamstring Scale  |  Kod ID: 2016-08-25-13-30-33_hamstring correction  |  Range: [1.0, 0.0]
UI İsmi: Knee Bone Width  |  Kod ID: 2018-10-11-15-08-41_knee cap width  |  Range: [1.0, 0.0]
UI İsmi: Knee Tone  |  Kod ID: cc embed morphs/embed_leg7  |  Range: [1.0, -0.30000001192092896]
UI İsmi: Lower Leg Length  |  Kod ID: cc embed morphs/embed_leg5  |  Range: [1.0, -1.0]
UI İsmi: Lower Leg Scale  |  Kod ID: cc embed morphs/embed_leg2  |  Range: [1.0, -1.0]
UI İsmi: Calf Scale B  |  Kod ID: 2016-08-26-14-05-05_calf_natural  |  Range: [1.0, 0.0]
UI İsmi: Ankle Tone  |  Kod ID: cc embed morphs/embed_leg6  |  Range: [1.0, -0.30000001192092896]
UI İsmi: Foot Scale  |  Kod ID: cc embed morphs/embed_foot3  |  Range: [1.0, -0.5]
UI İsmi: Foot Upper Scale  |  Kod ID: cc embed morphs/embed_foot1  |  Range: [1.0, -1.0]
UI İsmi: Foot Length  |  Kod ID: cc embed morphs/embed_foot2  |  Range: [1.0, -1.0]
UI İsmi: Foot Tone  |  Kod ID: cc embed morphs/embed_foot4  |  Range: [1.0, -0.5]
UI İsmi: Foot Arch Scale Height  |  Kod ID: 2018-09-14-12-26-47_foot arch 02  |  Range: [1.0, -1.0]
UI İsmi: Foot Square  |  Kod ID: 2018-09-12-17-21-26_foot shape  |  Range: [1.0, 0.0]
